season,month,min_temp,medium_temp,max_temp,precipitation,weekend,consumption
winter,06,13.9,14.54,18,3.8,0,17.241
winter,06,12.1,14.72,17.4,1,0,19.463
winter,06,12,15.26,20.9,0,0,21.86
winter,06,10.6,15.34,20.8,0,1,24.227
winter,06,11.2,15.48,21.8,0,1,27.594
winter,06,11,17.2,24.4,0,0,24.863
winter,06,13.2,19.36,25.1,0,0,20.161
winter,07,16.2,17.78,20.5,0,0,20.824
winter,07,15.1,17.2,19.9,1.6,0,19.727
winter,07,15.6,17.52,18.4,17.8,0,14.94
winter,07,10.9,14.94,21,15.2,1,24.632
winter,07,11,12.9,14.5,4.4,1,21.294
winter,07,11.3,15.78,20.6,0,0,18.448
winter,07,13.3,16.8,20.2,0,0,21.237
winter,07,14.9,17.02,18.7,4.5,0,19.849
winter,07,15.3,17.54,20.4,0,0,20.74
winter,07,14,19.24,25.4,0,0,25.698
winter,07,16,17.46,19.8,0,1,26.691
winter,07,14,20.32,27.4,3,1,33.298
winter,07,16.7,22.06,28.7,0,0,25.64
winter,07,18.4,23.3,29.3,0,0,23.937
winter,07,17.2,20.18,27.6,0,0,28.742
winter,07,16.2,19.88,25.8,0,0,21.748
winter,07,15.8,19.14,24.3,0,0,22.032
winter,07,18.2,20.2,23.8,0,1,24.827
winter,07,14.6,19.98,25.9,0,1,32.473
winter,07,14.9,20.56,25.1,0,0,20.62
winter,07,14,16.72,21.4,0,0,21.825
winter,07,12.8,14.52,16.1,0,0,14.343
winter,07,13.6,17.02,20.6,0,0,19.029
winter,07,14.3,18.46,25.8,0,0,21.104
winter,07,14.9,15.9,17.9,16.6,1,20.738
winter,07,13.6,16.82,22.9,2,1,25.233
winter,07,11,16.6,24.2,0,0,18.975
winter,07,11.6,16.46,24.5,0,0,19.64
winter,07,11,16.2,23.8,0,0,22.522
winter,07,11.3,16.76,26.7,0,0,24.227
winter,07,12.8,19.24,26.6,0,0,24.726
winter,08,14.3,19.78,26.4,0,1,32.467
winter,08,13.8,20.1,26.3,0,1,31.663
winter,08,14.9,21.16,26.9,0,0,25.867
winter,08,15.2,21.04,27.4,0,0,27.724
winter,08,15,20.96,27.2,0,0,22.039
winter,08,16.3,21.06,27.7,0,0,26.127
winter,08,15.5,22.08,28.9,0,0,26.58
winter,08,16,21.16,27.8,0,1,31.31
winter,08,15.6,19.62,26.2,0,1,33.517
winter,08,15.6,21.2,28,0,0,23.181
winter,08,15.2,19.6,27.2,0,0,24.183
winter,08,14.1,20.12,26.6,0,0,24.594
winter,08,14.1,20.42,28.1,0,0,22.61
winter,08,15.3,20.86,27.6,0,0,25.479
winter,08,15.6,21.44,27.8,0,1,29.621
winter,08,16.2,20.56,27.2,0,1,26.272
winter,08,15.3,21.58,28,0,0,22.541
winter,08,16.7,21.3,26.5,0,0,23.07
winter,08,17.3,20.74,28.3,0,0,26.021
winter,08,14.8,16.2,19.6,0,0,17.655
winter,08,13.2,16.84,22.1,1,0,23.243
winter,08,14.1,18.08,26.2,0,1,30.177
winter,08,13.5,20.22,30,0,1,27.518
winter,08,15.1,16.98,20.5,0,0,23.21
winter,08,14.3,16.98,20.5,2.4,0,21.092
winter,08,14.8,18.92,24,0.6,0,23.357
winter,08,13.8,16.1,19.8,2.6,0,17.888
winter,08,12.8,16.28,22.1,25,0,22.217
winter,08,12.2,18.46,26.7,0,1,31.681
winter,08,14.3,22.52,32,0,1,31.833
winter,08,16.6,24.54,32.2,0,0,28.441
spring,09,17.2,21.44,30.7,0,0,22.389
spring,09,14.1,16.1,20.2,0.4,0,20.681
spring,09,14.8,19.3,25,0,0,24.222
spring,09,15.2,16.66,19.3,0,0,19.345
spring,09,14.4,16.12,18.5,2.4,1,21.827
spring,09,13.3,16.48,19.9,0,1,23.566
spring,09,13.8,18.72,24.4,0.1,0,20.227
spring,09,15.8,17.08,19.2,23.6,0,17.075
spring,09,15.8,18.82,22.9,58,0,16.977
spring,09,13.9,18.92,25.6,0,0,21.525
spring,09,14.1,16.88,21.8,31.8,0,21.454
spring,09,12.8,14,15.6,27.6,1,21.814
spring,09,12.5,14.18,16.1,0,1,21.252
spring,09,13,16.46,22.5,0.2,0,20.464
spring,09,14.4,21.18,30.1,0,0,30.775
spring,09,17.2,25.24,32.6,0,0,25.343
spring,09,20.4,27.26,33,0,0,33.93
spring,09,21.3,28.06,34.5,0,0,26.311
spring,09,21.1,28,35.5,0,1,31.836
spring,09,19.2,23.6,33.3,0,1,34.695
spring,09,17.4,24.72,32.8,0,0,29.829
spring,09,18.9,25.7,33.3,0,0,26.362
spring,09,18.3,26.14,34,0,0,32.589
spring,09,20.5,28.3,35.3,0,0,30.345
spring,09,19.2,23.24,30.3,0,0,29.411
spring,09,18.2,20.58,24.9,28.6,1,29.637
spring,09,18.2,22.3,30.6,1.8,1,32.184
spring,09,17.5,21.22,23.6,27.2,0,17.731
spring,09,17.5,21.8,27.1,0,0,24.114
spring,09,18.6,21.52,27.6,0,0,28.034
spring,10,17.6,20.96,26.4,7.6,0,22.664
spring,10,19.3,24.74,32.7,0,0,27.488
spring,10,16.1,20.28,25,25,1,24.876
spring,10,17.1,18.6,21.3,0.2,1,24.862
spring,10,14.8,17.36,22.4,0,0,24.679
spring,10,14.6,18.26,24.7,0,0,22.304
spring,10,15.9,24.5,32.6,0,0,30.329
spring,10,19.3,26.56,34,0,0,33.182
spring,10,19.8,24.52,29,0,0,23.849
spring,10,19.6,23.06,28,0.3,1,33.33
spring,10,19.6,22.48,30,0,1,34.496
spring,10,19,22.76,29.6,0,0,26.249
spring,10,18.1,21.4,27.6,2.4,0,26.523
spring,10,18.2,23.62,28.5,0,0,26.793
spring,10,18.9,28.12,35.8,0,0,35.861
spring,10,21.3,26.24,35.7,0,0,27.387
spring,10,17.3,21.22,29.2,0,1,32.666
spring,10,15.5,16.76,19.2,0.1,1,22.199
spring,10,15.5,19.86,27.2,0,0,24
spring,10,17.2,26.3,35.3,0,0,27.871
spring,10,21.3,24.62,32,0,0,31.139
spring,10,17.7,19.9,22.8,14.6,0,23.065
spring,10,17.6,20.5,27.3,13.4,0,26.594
spring,10,16.2,17.94,21.2,0,1,27.657
spring,10,15.7,17.64,19.2,0,1,26.594
spring,10,16,20.86,28.5,28.4,0,28.084
spring,10,19.1,22,28.4,0.1,0,27.582
spring,10,18.6,20.42,23.9,0,0,24.862
spring,10,18.2,20.56,24.8,0,0,22.634
spring,10,19.1,23.86,31.2,0,0,31.649
spring,10,18.2,23.18,29.3,0,1,35.781
spring,11,18.7,20.22,22.4,27.2,1,24.429
spring,11,18.3,21.82,27.2,39.6,0,20.648
spring,11,19.5,21.86,25.6,3.4,0,22.741
spring,11,18.6,21.52,27.4,6.8,0,21.479
spring,11,18.2,21.8,24.8,39.3,0,23.134
spring,11,18,19.76,22.8,0,0,20.575
spring,11,16.8,18.3,20,1.2,1,24.33
spring,11,17.4,20.24,23.9,0.6,1,28.61
spring,11,18.7,22.98,29.5,4.4,0,28.456
spring,11,19.4,23.72,31.8,10.4,0,27.964
spring,11,19.8,26.2,32.7,0,0,29.569
spring,11,20.8,23.78,31.8,0,0,29.267
spring,11,19.4,22.78,29.6,0,0,28.647
spring,11,19.5,25.06,30.4,16.4,1,26.836
spring,11,19.8,23.06,29.7,8,1,29.386
spring,11,19.4,21.16,24.9,0,0,24.609
spring,11,17.7,21.76,29.7,0,0,26.964
spring,11,17.6,25.5,30.5,14.1,0,23.614
spring,11,23.3,26.16,30.4,0,0,22.96
spring,11,19.6,23.28,27,6.8,0,20.332
spring,11,17.2,19.44,24.4,7.2,1,30.392
spring,11,17.1,22.26,28.8,0,1,31.933
spring,11,19.6,20.8,23.6,13.6,0,21.662
spring,11,19.3,21.36,22.6,7,0,21.689
spring,11,19.3,21.26,24.8,0.4,0,25.119
spring,11,19,22.28,27.4,0,0,25.285
spring,11,17.6,22.28,28.4,0,0,28.979
spring,11,18.7,23.7,29.8,0,1,34.382
spring,11,20.5,22.38,26,17.4,1,30.617
spring,11,16.7,19.1,23.3,23.4,0,20.238
summer,12,16.4,20.1,25.8,0,0,24.529
summer,12,18.2,22.1,29.4,0,0,30.471
summer,12,20.2,22.44,26.1,0,0,28.405
summer,12,19,22.76,29.1,0,0,29.513
summer,12,19.5,24.8,30.6,0.1,1,32.451
summer,12,20.6,23.12,28,0.1,1,32.78
summer,12,18,20.04,23.9,47.8,0,23.375
summer,12,18,21.7,28,0,0,27.713
summer,12,19.6,23.96,27.9,0,0,27.137
summer,12,22.2,24,27.7,0,0,22.933
summer,12,20.7,24.04,30.3,0,0,30.74
summer,12,20.6,23.92,30.8,0,1,29.579
summer,12,19.3,24.54,31,12.2,1,29.188
summer,12,21.1,26.28,32.5,2,0,28.131
summer,12,20.6,25.66,32.8,4,0,28.617
summer,12,20.7,22.04,24.8,1.5,0,21.062
summer,12,18.9,23.32,28.7,0,0,24.337
summer,12,19.6,26.42,33.5,0.1,0,27.042
summer,12,19.8,23.74,31.3,1.3,1,32.536
summer,12,19.6,22.84,29,8.4,1,30.127
summer,12,19.6,23.12,29.1,27.2,0,24.834
summer,12,19.6,24.6,32.4,43,0,26.828
summer,12,22.1,27.46,32.4,3,0,26.468
summer,12,20.5,24.72,31.5,3.4,0,31.572
summer,12,17.8,23.58,31,39,0,26.308
summer,12,17.8,23.34,29.8,94.8,1,21.955
summer,12,21.1,24,28.2,13.6,1,32.307
summer,12,21.1,22.64,26.7,0,0,26.095
summer,12,20.3,21.68,24.1,10.3,0,22.309
summer,12,19.3,21.38,22.4,6.3,0,20.467
summer,12,20.2,24.76,29,0,0,22.446
